Epoch,Training_Loss,Test_Loss,Accuracy,AUC
1,0.3561335359624834,0.2388082841131311,0.8968262744664381,0.8985468973607177
2,0.2314358504505132,0.22906132376419422,0.9019130819418335,0.9042164360633655
3,0.2266572296448024,0.226654448495902,0.9016919163994249,0.9067248610047431
4,0.22409592034924322,0.22555671509857478,0.9025765785690589,0.9080462185122623
5,0.22197401853848073,0.22303330817212577,0.9022448302554462,0.9099625597617462
6,0.22014700704590195,0.2217367583080215,0.9011390025434037,0.9112946888838122
7,0.2181285431831449,0.22301761653588617,0.9022448302554462,0.912150262839232
8,0.21613744382796576,0.21968577124765853,0.9030189096538759,0.9132935335985596
9,0.214635423885803,0.21837561791691648,0.9037929890523057,0.9143815258524666
10,0.2136332819819635,0.2172563403340603,0.9044564856795311,0.9151025138107485
11,0.21207542933014426,0.21577288339086093,0.9060046444763906,0.9163873543612612
12,0.21065513391498442,0.21512571774422298,0.906668141103616,0.9170017506832872
13,0.20936768934265804,0.21763586718187414,0.9061152272475949,0.9173495199529363
14,0.20781417162023902,0.21423121633604011,0.9062258100187991,0.9179437342938614
15,0.20716553600989093,0.2139695466131575,0.9060046444763906,0.917979008372267
16,0.20499450040190548,0.2134042592171506,0.905783478933982,0.9188277169030307
17,0.2057400830642124,0.21402972751086652,0.9052305650779608,0.9187984796635469
18,0.20433369555770758,0.2134394342757215,0.9060046444763906,0.919043030824573
19,0.20330305588348227,0.21219468840479153,0.9058940617051864,0.9195265697852661
20,0.20282434752704137,0.2124742293541086,0.9048988167643481,0.9196642333865599
